bokyeong,mama,정키,발라드,2013,Emotion,정키,,대한민국,한국어,4:40
bokyeong,비가 오네,긱스,랩/힙합,2013,Backpack,"릴보이,루이,TK",,대한민국,한국어,4:16
bokyeong,rain,태연,발라드,2016,Rain,Matthew Tishier,,대한민국,한국어,3:49
bokyeong,오늘은 헤어지는 날,거미,알앤비/어반,2005,For The Bloom,김선민,,대한민국,한국어,4:25
bokyeong,비오는 거리,베이빌론,알앤비/어반,2016,BETWEEN US,"Groovy Room,베이빌론,핫펠트",,대한민국,한국어,3:25
bokyeong,딱 좋은 온도,프리티 브라운,랩/힙합,2016,딱 좋은 온도,김건우,,대한민국,한국어,
bokyeong,만화처럼,"매드클라운,브라더수",랩/힙합,2016,만화처럼,"매드클라운,브라더수",,대한민국,한국어,
bokyeong,감동이 중요해,주니엘,랩/힙합,2013,DOKKUN Project Part 3,김도훈,,대한민국,한국어,
bokyeong,crush on you,크러쉬,랩/힙합,2013,Crush On You,,,대한민국,한국어,
bokyeong,장미꽃,개코,랩/힙합,2014,Redingray,개코,,대한민국,한국어,
chohye,우주를 줄게,볼빨간 사춘기,인디,2016,RED PLANET,"안지영,바닐라 어쿠스틱",,대한민국,,
chohye,UFO 타고 왔니?,"헤이즈, 고영배",드라마음악,2016,질투의 화신 OST Part 1,"남혜승박진호","남혜승, 박진호",대한민국,한국어,3:47
chohye,토요일 밤이 좋아,로맨틱 펀치,락,2010,1집 Midnight Cinderella,배인혁,배인혁,대한민국,한국어,4:03
chohye,For Him.,Troye Sivan,팝,2016,Blue Neighbourhood (Deluxe Edition),,,오스트레일리아,한국어,3:29
chohye,In My Place,Coldplay,팝,2002,In My Place,Chris Martin,,영국,한국어,3:49
chohye,Cake by the ocean,DNCE,팝,2015,SWAAY,"매트맨 & 로빈, 조 조너스, 저스틴 트랜터",매트맨 & 로빈,미국,한국어,3:38
chohye,Flight,한올,포크,2016,Flight,한올,,대한민국,한국어,4:13
chohye,Skit,기리보이(Feat. Swings)   ,랩/힙합,2013,Skit,"기리보이,한요한",기리보이,대한민국,한국어,4:50
chohye,Russian Roulette,레드벨벳,댄스,2016,Russian Roulette - The 3rd Mini Album,,"Albi Albertsson Belle Humble Markus Lindell",대한민국,한국어,3:31
chohye,가장 아름다운 노래,장기하와 얼굴들,락,2016,내 사랑에 노련한 사람이 어딨나요,장기하,,대한민국,한국어,4:08
chohye,우주를 줄게,볼빨간 사춘기,인디뮤직,2016,Full Album RED PLANET,"안지영 바닐라맨 (바닐라어쿠스틱)",,대한민국,한국어,3:33
cjy97424,우산,에픽하이,힙합,2008,"Pieces, Part One",에픽하이,"에픽하이, 플래닛 쉬버",대한민국,한국어,5:01
cjy97424,어땠을까,"싸이, 박정현",댄스,2012,싸이6甲 Part 1,싸이 유건형,,대한민국,한국어,4:04
cjy97424,봄이 좋냐??,10cm,Fork,2016,3.2,10cm,,대한민국,한국어,3:25
cjy97424,내가 저지른 사랑,임창정,발라드,2016,I'M,,,대한민국,한국어,4:01
cjy97424,미인,이기찬,발라드,2007,Para Ti Repackage Album,조영수,안영민,대한민국,한국어,3:38
cjy97424,죽을만큼 아파서,MC몽,힙합,2010,블루브랜드 Trauma Part 2,김건우,김건우,대한민국,한국어,4:06
cjy97424,SunShine Love,아미,댄스,2008,Sunshine Love,이정규,이정규,대한민국 ,한국어,3:31
cjy97424,요리왕,슈퍼주니어 해피,Dance,2008,요리왕 (Cooking? Cooking!) The First Mini Album ,ROZ,ROZ,대한민국,한국어,3:43
cjy97424,초콜릿,"케이윌,마리오",댄스,2009,Color Chocolate,"김도훈,이현승","김도훈,이현승",대한민국,한국어,3:13
cjy97424,보고싶은날엔,V.O.S,발라드,2010,This is Voice Of Soul,한상원,한상원,대한민국,한국어,
dbsmay,Death Of A Bachelor,Panic! At The Disco,Rock,2016,Death Of A Bachelor,,,미국,영어,3:23
dbsmay,Wherever I Go,OneRepublic,Rock,2016,Future Looks Good,,,미국,영어,2:50
dbsmay,휘파람,BLACKPINK,Rap/Hip-hop,2016,SQUARE ONE,TEDDY,,대한민국,"한국어, 영어",3:31
dbsmay,바람에 날려,여자친구,Dance,2016,여자친구 The 1st Album `LOL`,e.one,,대한민국,한국어,3:50
dbsmay,Fantasy,빅스,Dance,2016,Hades,Devine Channel,,대한민국,"한국어, 영어",3:28
dbsmay,IF YOU,BIGBANG,Folk,2015,D,"G-DRAGON, P.K, DEE.P",,대한민국,"한국어, 영어",4:24
dbsmay,아주 NICE,세븐틴,Dance,2016,Love&Letter Repackage Album,"WOOZI, BUMZU ",,대한민국,"한국어, 영어",3:12
dbsmay,소멸탈출,넬,Rock,2014,Newton's Apple,김종완,,대한민국,"한국어, 영어",4:17
dbsmay,안경,아이유,Ballad,2015,CHAT-SHIRE,아이유,,대한민국,한국어,3:16
dbsmay,Lost Stars,Adam Levine,Foreign Movie,2014,비긴 어게인 OST,,,미국,영어,4:28
dbsmay,Just Like Fire,Pink,Pop,2016,Just Like Fire,,,미국,영어,3:35
dbsmay,Hymn For The Weekend,Coldplay,Rock,2015,A Head Full Of Dreams,,,영국,영어,4:18
doeun,내가 저지른 사랑,임창정,발라드,2016,I'M,"임창정, 박성수",임창정,대한민국,한국어,3:58
doeun,선,유승우,"알앤비, 어반",2016,Pit a pat,브라더수,"브라더수, 유웅렬",대한민국,한국어,3:32
doeun,괜찮아 떠나,스윗소로우,댄스,2013,4th #1 괜찮아 떠나,김영우,김영우,대한민국,한국어,3:42
doeun,네 생각,존박,발라드,2016,네 생각,존 박,적재,대한민국,한국어,3:50
doeun,All mine,f(x),일렉트로니카,2016,All mine,Greg Bonnick,LDN Noise,대한민국,한국어,3:23
doeun,2 DIfferent Tears,원더걸스,댄스,2010,2 Different Tears,박진영,"박진영, 이우석",대한민국,한국어,3:24
doeun,Get Lucky,Daft Punk,일렉트로니카,2013,Random Access Memories,Daft Punk,Daft Punk,프랑스,영어,6:09
doeun,Happy,Pharrell Williams,힙합,2013,Happy,Pharrell Williams,Pharrell Williams,미국,영어,3:53
doeun,You(=I),볼빨간 사춘기,인디뮤직,2016,Full Album RED PLANET,안지영,바닐라맨,대한민국,한국어,2:49
doeun,심술,볼빨간사춘기,인디뮤직,2016,Half Album RED ICKLE,안지영,바닐라맨 어쿠스틱,대한민국,한국어,2:38
dongho1596,밀리언조각,규현,발라드,2015,"다시, 가을이 오면 - The 2nd Mini Album",Kenzie,,대한민국,한국어,5:14
dongho1596,광화문에서,규현,발라드,2014,광화문에서,Kenzie,,대한민국,한국어,4:43
dongho1596,Heaven,에일리,발라드,2012,Heaven,휘성,,대한민국,한국어,3:31
dongho1596,Sorry,주니엘,발라드,2015,Sorry,TL,,대한민국,한국어,3:41
dongho1596,Everlasting Sunset,주니엘,발라드,2012,My first june,주니엘,,대한민국,한국어,4:46
dongho1596,또 다시 사랑,임창정,발라드,2015,또 다시 사랑,임창정,,대한민국,한국어,4:35
dongho1596,저녁하늘,에일리,발라드,2012,Invitation,박근태,,대한민국,한국어,3:53
dongho1596,illa illa,주니엘,발라드,2012,My first june,김도훈,,대한민국,한국어,3:36
dongho1596,하늘바라기,정은지,발라드,2016,Dream,이단옆차기,,대한민국,한국어,3:40
dongho1596,내가 저지른 사랑,임창정,발라드,2016,I'M,임창정,,대한민국,한국어,3:58
dongwook,하기나해,그레이,힙합,2015,gratground. 01,그레이,그레이,대한민국,한국어,3:48
dongwook,피노키오,로이킴,드라마,2014,피노키오,로코베리,"지훈, 구지안",대한민국,한국어,3:33
dongwook,검은행복,윤미래,힙합,2007,t 3 YOONMIRAE,타이거JK,타이거JK,대한민국,한국어,4:04
dongwook,봄을 그리다,어반자카파,알앤비,2011,[01],조현아,조현아,대한민국,한국어,4:29
dongwook,미인,이기찬,발라드,2007,Para Ti Repackage Album,조영수,안영민,대한민국,한국어,3:38
dongwook,겨울을 걷는다,윤딴딴,락,2014,반오십,윤딴딴,윤딴딴,대한민국,한국어,4:38
dongwook,그녀를 사랑해줘요,하동균,발라드,2006,Stand Alone,PJ,최갑원,대한민국,한국어,4:19
dongwook,공감,정준영,발라드,2016,공감,정준영,정준영,대한민국,한국어,4:07
dongwook,연애,프리스타일,랩,2009,Dry&Wet,지오,미노,대한민국,한국어,3:43
dongwook,다른별,브라더수,알앤비,2013,Paper,브라더수,브라더수,대한민국,한국어,3:43
gayeon,우주를건너,백예린,알앤비 ,2015,FRANK,"백예린,구름",구름,대한민국,한국어,4:06
gayeon,안녕 사랑아,박효신,발라드,2010,안녕 사랑아 (Digital Single) ,"황세준, 김도훈",황세준,대한민국,한국어,3:56
gayeon,죽을만큼 아파서,MC몽,힙합,2010,블루브랜드 Trauma Part 2,김건우,김건우,대한민국,한국어,4:06
gayeon,하늘바라기,정은지,발라드,2016,Dream,이단옆차기,이단옆차기,대한민국,한국어,3:40
gayeon,Simon Dominic,Simon.D,힙합,2015,￦ & ONLY,그레이,그레이,대한민국,한국어,3:43
gayeon,쿵,Zion.T       ,힙합,2016,쇼미더머니 5 Special ,Zion.T,Zion.T,대한민국,한국어,3:15
gayeon,회상,리쌍,힙합,2011,AsuRa BalBalTa,길,,대한민국,한국어,4:47
gayeon,서프라이즈,범키,알앤비,2016,U-TURN ,범키,범키,대한민국,한국어,3:35
gayeon,Hello,adele,pop,2015,Hello,"adele, greg kerstin",greg kerstin,대한민국,한국어,4:55
gayeon,이 소설의 끝을 다시 써보려해,한동근,발라드,2014,이 소설의 끝을 다시 써보려 해 ,"제피, 마스터키","제피, 마스터키",대한민국,한국어,4:22
halfmoondeer,piano,December,발라드,2015,Reason,조영수,조영수,대한민국,한국어,3:03
halfmoondeer,그림자,Monday Kiz,드라마 ost,2012,해를 품은 달,"한상원, 반형문",,대한민국,한국어,3:56
halfmoondeer,녹슨 가슴,Monday Kiz,발라드,2007,Incompletion,박해운,,대한민국,한국어,4:37
halfmoondeer,유리 심장,Monday Kiz,발라드,2010,ru:t;,김원,,대한민국,한국어,3:37
halfmoondeer,친구라서 끝내 참는 말,Monday Kiz,발라드,2012,Healing activity,"이진성, 멜로딘 준영",,대한민국,한국어,3:38
halfmoondeer,She's gone,December,발라드,2012,She's gone,조영수,조영수,대한민국,한국어,3:51
halfmoondeer,사랑을 고백합니다,December,발라드,2009,Dear My Lover,박정욱,,대한민국,한국어,3:59
halfmoondeer,혼자왔어요,December,발라드,2010,A Story To The Sky,오성훈,,대한민국,한국어,3:42
halfmoondeer,You are Mine,SG Wannabe,발라드,2015,THE VOICE,김진호,,대한민국,한국어,4:20
halfmoondeer,So Sick,Ne-Yo,R&B,2006,In My Own Words,Ne-Yo,,USA,English,3:27
hisfact,민물장어의 꿈,신해철,ROCK,1999,Homemade Cookes,신해철,,대한민국,한국어,3:27
hisfact,134 14,GOD,hiphop,2001,Chapter4,데니안,박진영,대한민국,한국어,3:29
hisfact,서울 이곳은,로이킴 ,발라드,2013,응답하라 1994 OST PART1,장철웅,,대한민국,한국어,4:26
hisfact,Here i stand for you,NEXT,ROCK,1997,Here i stand for you,신해철,신해철,대한민국,한국어,4:50
hisfact,해에게서 소년에게	,NEXT,ROCK,1997,Lazenca: A Space Rock Opera,신해철,crom,대한민국,한국어,5:03
hisfact,발해를 꿈꾸며,서태지와 아이들,ROCK,1994,Seotaiji and Boys 3,서태지,서태지,대한민국,한국어,4:40
hisfact,시대유감,서태지와 아이들,ROCK,1996,Seotaiji and Boys 4,서태지,"서태지, 김국",대한민국,한국어,3:31
hisfact,낭만에 대하여,최백호,트로트,1995,열여섯번째 이야기,최백호,,대한민국,한국어,3:22
hisfact,왼손잡이,패닉,ROCK,1995,달팽이,이적,장미기획,대한민국,한국어,3:35
hisfact,나는 나비,윤도현밴드,ROCK,2006,Why be?,박태희,윤도현밴드,대한민국,한국어,4:37
jisoo,내가 저지른 사랑,임창정,"Ballad, Dance",2016,I`M,,,,한국어,4:01
jisoo,이 소설의 끝을 다시 써보려해,한동근,Ballad,2014,The 1st Digital Single `이 소설의 끝을 ,"제피(Xepy), 마스터키(MasterKey)",,대한민국,한국어,
jisoo,벚꽃 엔딩,버스커버스커,발라드,2012,,장범준,,대한민국,한국어,4:25
jisoo,사랑의 배터리,홍진영,Adult Contemporary,2009,사랑의 배터리,조영수,,대한민국,한국어,3:35
jisoo,비행기,거북이,Dance,2006,거북이 사요!!,임성훈,,대한민국,한국어,3:41
jisoo,시간과 낙엽,악동뮤지션,발라드,2014,시간과 낙엽,이찬혁,,대한민국,한국어,4:07
jisoo,러시안룰렛,레드벨벳,댄스,2016,러시안룰렛,조윤경,Albi Albertsson,대한민국,한국어,3:31
jisoo,누구보다 널 사랑해,디셈버,발라드,2011,조영수 All Star - 디셈버,조영수,조영수,대한민국,한국어,3:53
jisoo,세상이 완벽했다면 (Feat. 태연 of 소녀시대),버벌진트,Rap / Hip-hop,2015,GO HARD Part 1 : 양가치,"버벌진트, Assbrass",,대한민국,한국어,3:52
jisoo,돌아오지마,헤이즈,랩/힙합,2016,돌아오지마,헤이즈,헤이즈,대한민국,한국어,3:37
juhyang,stan,eminem,힙합,2001,stan(single),,"Eminem, Dido, Paul Herman",미국,영어,
juhyang,gear2,loopy,힙합,2015,,,,대한민국,한국어,4:00
juhyang,향수,일리닛,힙합,2011,Triple1,일리닛,일리닛,대한민국,한국어,5:23
juhyang,문득,Loquence,힙합,2008,Walk In The Sky,Loquence,Loquence,대한민국,한국어,
juhyang,사직서,제리케이,힙합,2011,The Amazing Mixtape,소울컴퍼니,소울컴퍼니,대한민국,한국어,
juhyang,가면무도회,fana,힙합,2009,Fanatic,fana,fana,대한민국,한국어,
juhyang,그것은 집착 혹은 환상,Loquence,힙합,2008,Walk In The Sky,Loquence,Loquence,대한민국,한국어,
juhyang,새벽에누워,D.C,힙합,2010,Someone Like You,D.C,D.C,대한민국,한국어,
juhyang,Lose Yourself,Eminem,힙합,2002,Lose Yourself,Eminem,Eminem,미국,영어,5:23
juhyang,,,힙합,,,,,대한민국,한국어,
jungbumwoo,첨밀밀,헤라,트로트,2008,몽중인,,,중국,한국어,3:30
jungbumwoo,여자로보여,후니아,알앤비,2015,여자로보여,후니아,,대한민국,한국어,3:51
jungbumwoo,사랑해요,김범수,"알엔비,발라드",2012,보고싶다,윤일상,,대한민국,한국어,4:08
jungbumwoo,내 탓은 아니야,권나무,Folk,2014,그림,권나무,권나무,대한민국,한국어,4:47
jungbumwoo,History,one direction,Pop,2015,Made In The A. M.,,,영국,한국어,3:07
jungbumwoo,21,DEAN,알앤비,2016,130 mood : TRBL ,"Deanfluenza, Hyuk Shin,Osinachi Nwanari, 2xxx!, Chek Parren",,,한국어,3:27
jungbumwoo,Why so lonely,원더걸스,Dance,2016,Why So Lonely,"선미, 혜림, 유빈, 홍지상",,대한민국,한국어,3:26
jungbumwoo,toothbrush,Dnce,Pop,2015,SWAAY,Dnce,Dnce,미국,한국어,3:51
jungbumwoo,쓰담쓰담,10cm,Folk,2014,3,10cm,10cm,대한민국,한국어,4:01
jungbumwoo,축가,김연우,발라드,2010,정,윤일상,,대한민국,한국어,4:31
juyong,energy,drake,힙합,2015,if you're Reading This It's Too Late,,,미국,영어,3:02
juyong,SOFA,crush,알앤비,2014,SOFA,Crush,,대한민국,"한국어,영어",3:49
juyong,Eternal Sunshine,Jhene Aiko,알앤비,2014,Souled Out,,,미국,영어,3:30
juyong,감아줘,Ryan,알앤비,2016,The Legendary Close Up,Ryan IM,,대한민국,"한국어,영어",3:20
juyong,Photograph,Ed Sheeran,발라드,2014,X,Ed Sheeran,,영국,영어,4:19
juyong,One,Ed Sheeran,발라드,2014,X,Ed Sheeran,,영국,영어,4:12
juyong,Research,Big Sean,힙합,2015,Dark Sky Paradise,,,미국,영어,3:50
juyong,그럼,염따,힙합,2016,살아숨셔,염따,염따,대한민국,한국어,3:36
juyong,just,마마무,알앤비,2016,Melting,박우상,박우상,대한민국,"한국어,영어",3:41
juyong,From Time,drake,힙합,2013,Nothing Was The Same,,,미국,영어,5:22
kde713,Why,태연(TAEYEON),Dance,2016,Why- The 2nd Mini Album,"LDN Noise, Lauren Dyson, Rodnae `Chikk` Bell",,대한민국,한국어,3:27
kde713,너는 나 나는 너,지코 (ZICO),R&B / Soul,2016,Break Up 2 Make Up,지코 (ZICO),,대한민국,한국어,3:33
kde713,제주도의 푸른 밤,태연 (TAEYEON),Rock,2016,밴드 고맙삼다,최성원,,대한민국,한국어,3:23
kde713,Drive It Like You Stole It,Sing Street,Foreign Movie,2016,싱 스트리트 OST,Gary Clark,,아일랜드,영어,3:36
kde713,아는사람 얘기,San E,Rap / Hip-hop,2013,아는사람 얘기,San E,,대한민국,한국어,3:26
kde713,Lovesick,San E,Rap / Hip-hop,2010,Lovesick,San E,,대한민국,한국어,3:44
kde713,외톨이,아웃사이더,Rap / Hip-hop,2009,Maestro,"MC 스나이퍼, 김지향",,대한민국,한국어,3:11
kde713,세상이 완벽했다면 (Feat. 태연 of 소녀시대),버벌진트,Rap / Hip-hop,2015,GO HARD Part 1 : 양가치,"버벌진트, Assbrass",,대한민국,한국어,3:52
kde713,봄이 좋냐??,10cm,Fork,2016,3.2,10cm,,대한민국,한국어,3:25
kde713,시간을 달려서 (Rough),여자친구(GFRIEND),Dance,2016,여자친구 3rd Mini Album `SNOWFLAKE`,"이기(오레오), 용배(RBW)",,대한민국,한국어,3:29
kjw7282,6 Foot 7Foot,Lil Wayne,hip-hop,2011,The chapter IV,,,미국,영어,4:09
kjw7282,I Don't mind,Usher,hip-hop,2014,x,,,미국,영어,4:08
kjw7282,Not nice,PARTYNEXTDOOR,R&B,2016,PARTYNEXTDOOR 3,,,미국,영어,3:23
kjw7282,Lollipop,Lil Wayne,R&B,2009,Cool: R&B,,,미국,영어,4:09
kjw7282,The prediction,NAS,hip-hop,1999,Nastradmus,,,미국,영어,1:19
kjw7282,Liefe we chose,NAS,hip-hop,1999,Nastradmus,,,미국,영어,4:08
kjw7282,Come get me,NAS,hip-hop,1999,Nastradmus,,,미국,영어,5:31
kjw7282,Family,NAS,hip-hop,1999,Nastradmus,,,미국,영어,5:16
kjw7282,BIg girl,NAS,hip-hop,1999,Nastradmus,,,미국,영어,4:19
kjw7282,New World,NAS,hip-hop,1999,Nastradmus,,,미국,영어,4:00
kk0255,괜찮아요,비투비,발라드,2015,Complete,손영진,손영진,대한민국,한국어,4:11
kk0255,집으로 가는 길,비투비,발라드,2015,I Mean,손영진,손영진,대한민국,한국어,4:00
kk0255,떠나지 못해,샤이니,댄스,2013,3집 SHINee The 3rd Album Chapter 2. `Why So Serious? - The misconceptions of me`,임광욱,임광욱,대한민국,한국어,4:40
kk0255,너는 나 나는 너,지코,알앤비,2016,Break Up 2 Make Up,지코,지코,대한민국,한국어,3:33
kk0255,EPILOGUE : Young Forever,방탄소년단,댄스,2016,화양연화 Young Forever,Slow Rabbit,Slow Rabbit,대한민국,한국어,2:51
kk0255,House Of Cards (full length edition),방탄소년단,댄스,2016,화양연화 Young Forever,Slow Rabbit,Slow Rabbit,대한민국,한국어,3:46
kk0255,Butterfly (alternative mix),방탄소년단,댄스,2016,화양연화 Young Forever,방시혁,방시혁,대한민국,한국어,4:01
